Wavelength  Flux
#[Angstrom]  [Flux per Angstrom]
4245.47         74.58486
4246.47         75.82317
4247.47         71.92239
4248.47          71.4585
4249.47         72.69201
4250.47         73.48556
4251.47         76.84308
4252.47         79.10091
4253.47          77.8765
4254.47         76.82087
4255.47         75.77866
4256.47         73.11328
4257.47         70.99529
4258.47         69.17385
4259.47         68.82151
4260.47         71.37881
4261.47         73.27433
4262.47         72.32434
4263.47         68.69966
4264.47         63.94787
4265.47         58.50591
4266.47          51.0049
4267.47         47.42398
4268.47         55.26534
4269.47          67.2626
4270.47         72.35104
4271.47         72.06104
4272.47         72.26548
4273.47         72.41598
4274.47         70.63837
4275.47         68.93456
4276.47         69.81902
4277.47         72.27356
4278.47         72.37853
4279.47         70.40066
4280.47         68.26828
4281.47         66.14333
4282.47         66.46945
4283.47         70.22948
4284.47         74.36903
4285.47         76.19198
4286.47         77.22891
4287.47         78.45287
4288.47         77.61838
4289.47         76.00346
4290.47          75.2448
4291.47         73.15057
4292.47         69.56895
4293.47         66.72363
4294.47         66.10175
4295.47         66.51549
4296.47         65.57397
4297.47          63.8703
4298.47         63.73848
4299.47         65.05167
4300.47         65.58993
4301.47         65.36597
4302.47         66.40815
4303.47          68.6599
4304.47         68.75434
4305.47         66.20982
4306.47         64.18434
4307.47         61.98554
4308.47         59.43409
4309.47         60.01614
4310.47          64.0116
4311.47         68.73595
4312.47         72.70118
4313.47         74.45654
4314.47         73.43519
4315.47         71.74168
4316.47         70.33504
4317.47         69.66309
4318.47         69.37489
4319.47         68.16763
4320.47         68.55201
4321.47         71.16325
4322.47         70.94025
4323.47         66.18561
4324.47         61.25869
4325.47         60.43904
4326.47         61.94338
4327.47         60.36614
4328.47         56.94142
4329.47         56.14118
4330.47         56.78094
4331.47          56.0936
4332.47         55.23896
4333.47         55.57494
4334.47         56.88543
4335.47         59.26281
4336.47         62.01456
4337.47         64.00677
4338.47         66.52872
4339.47         69.31317
4340.47         67.69245
4341.47         62.52087
4342.47         58.65693
4343.47          56.3978
4344.47         55.83181
4345.47          55.2093
4346.47         54.30894
4347.47         56.59379
4348.47         60.97809
4349.47         63.85599
4350.47         65.06986
4351.47         65.38145
4352.47         64.36385
4353.47         63.27009
4354.47         63.96588
4355.47         66.08624
4356.47         67.77045
4357.47         69.00201
4358.47         71.37357
4359.47         73.59759
4360.47          71.5729
4361.47         66.32358
4362.47         64.83431
4363.47         69.62852
4364.47         75.29568
4365.47         76.21295
4366.47         74.25964
4367.47         74.97579
4368.47         78.14712
4369.47         78.50101
4370.47         74.44339
4371.47         71.23196
4372.47         71.81584
4373.47         73.76537
4374.47         73.71803
4375.47         71.96123
4376.47         71.08485
4377.47         71.06521
4378.47         71.99368
4379.47         72.78526
4380.47         71.48923
4381.47         69.03767
4382.47          67.3735
4383.47         65.85033
4384.47         64.98023
4385.47         66.91552
4386.47         70.57336
4387.47         74.18719
4388.47         76.04569
4389.47         75.07706
4390.47         73.71034
4391.47         73.74516
4392.47         74.97579
4393.47         77.22362
4394.47         78.36951
4395.47         76.73856
4396.47         74.59605
4397.47         74.05376
4398.47           72.936
4399.47         72.05228
4400.47         74.97668
4401.47         78.75968
4402.47         79.19841
4403.47         78.05519
4404.47         77.69508
4405.47         76.57446
4406.47         74.20721
4407.47         73.13368
4408.47         75.07064
4409.47         79.62576
4410.47         82.61849
4411.47         79.14864
4412.47         73.97439
4413.47         74.33197
4414.47         76.66359
4415.47         76.70991
4416.47         76.97421
4417.47         77.83518
4418.47         77.40074
4419.47         75.84765
4420.47         73.55095
4421.47         70.10334
4422.47         65.18021
4423.47         61.21233
4424.47         61.87342
4425.47         65.91235
4426.47         68.95179
4427.47         69.21789
4428.47         67.83053
4429.47         66.28008
4430.47         65.78956
4431.47         67.03847
4432.47         69.53351
4433.47         70.98832
4434.47         71.09416
4435.47         72.38877
4436.47         72.91573
4437.47          70.0472
4438.47         68.26356
4439.47         69.77554
4440.47         70.40543
4441.47         69.16898
4442.47         69.42531
4443.47         70.96299
4444.47         71.11865
4445.47         72.09821
4446.47          75.8578
4447.47         80.37057
4448.47         82.72153
4449.47         82.31778
4450.47         83.55129
4451.47         86.42845
4452.47          85.5503
4453.47         81.04025
4454.47         76.60431
4455.47         75.33228
4456.47         78.44112
4457.47         82.94598
4458.47         84.89026
4459.47         83.12675
4460.47         79.20443
4461.47         75.13734
4462.47         72.00784
4463.47         70.65528
4464.47         71.37178
4465.47         73.56655
4466.47         74.92415
4467.47         75.50182
4468.47         77.36081
4469.47         78.75852
4470.47         78.08483
4471.47         77.66191
4472.47         78.50509
4473.47          79.9233
4474.47         80.16528
4475.47         76.34451
4476.47         72.10892
4477.47         72.18284
4478.47         72.83372
4479.47         70.85463
4480.47         69.30624
4481.47         69.56561
4482.47         70.28545
4483.47         71.79531
4484.47         75.00326
